"","Property ID","Host ID","Listing Title","Property Type","Listing Type","Created Date","Last Scraped Date","Country","State","City","Zipcode","Neighborhood","Metropolitan Statistical Area","Average Daily Rate","Annual Revenue LTM","Occupancy Rate LTM","Number of Bookings LTM","Number of Reviews","Overall Rating","Bedrooms","Bathrooms","Max Guests","Calendar Last Updated","Response Rate","Response Time (min)","Superhost","Cancellation Policy","Security Deposit","Cleaning Fee","Extra People Fee","Published Nightly Rate","Published Monthly Rate","Published Weekly Rate","Check-in Time","Checkout Time","Minimum Stay","Count Reservation Days LTM","Count Available Days LTM","Count Blocked Days LTM","Number of Photos","Business Ready","Instantbook Enabled","Listing URL","Listing Main Image URL","Latitude","Longitude","price_norm","photo_room_ratio"
"46226",13041811,72134214,"Stuytown-Lower East Side, Manhattan","Apartment","Private room",2016-05-15,2016-05-16,"United States","New York","New York",10009,"Stuyvesant Town","New York-Newark-Jersey City, NY-NJ-PA Metro Area",80,800,0.164,2,0,NA,1,1,2,2016-05-16,NA,NA,NA,"Flexible",NA,NA,NA,80,2240,560,NA,NA,1,10,85,58,6,"False","No","https://www.airbnb.com/rooms/13041811","https://a2.muscache.com/im/pictures/bab592b0-de6e-4653-af54-1271bed29e6d.jpg",40.7319626347915,-73.9760196812251,-47.5788409052596,3
"46229",13014997,17111332,"1 BR in a Penthouse - East Village","Apartment","Private room",2016-05-14,2016-05-16,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",120,2160,0.857,1,0,NA,1,1,2,2016-05-16,69,707,"False","Flexible",NA,NA,NA,150,4200,1050,NA,NA,3,18,26,109,5,"False","No","https://www.airbnb.com/rooms/13014997","https://a2.muscache.com/im/pictures/5dee5e26-a155-4640-b067-f28ff0c1a6b9.jpg",40.7228061599082,-73.9802888758864,-28.1063704735557,2.5
"46298",8903834,2821521,"2br East Village. Best Neighborhood","Apartment","Entire home/apt",2015-10-13,2015-10-17,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",356.82,3925,0.355,1,0,NA,2,1,5,2015-10-15,90,48.54,"False","Moderate",NA,75,NA,350,6500,2000,"2:00 PM","11:00 AM",1,11,125,47,6,"False","No","https://www.airbnb.com/rooms/8903834","https://a2.muscache.com/im/pictures/148cc2e6-2d25-4c1c-a51e-4cc0748a691e.jpg",40.7255246787218,-73.9816489107633,131.614182108282,2
"46320",9300033,48274719,"Heart of East Village&amp;Private Patio","Apartment","Entire home/apt",2015-11-04,2016-03-05,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",173.59,5902,0.201,13,2,4.5,1,1,4,2016-03-02,NA,NA,NA,"Strict",NA,54,NA,135,3780,945,"12:00 PM (noon)","12:00 PM (noon)",2,34,202,69,19,"False","No","https://www.airbnb.com/rooms/9300033","https://a2.muscache.com/im/pictures/b8498e2a-84ce-4017-85c5-bf90d7fcc676.jpg",40.7241041866426,-73.9822862727472,-12.924671065106,9.5
"46339",9865659,12075661,"East Village Designer&#x27;s Apartment","Apartment","Entire home/apt",2015-12-06,2016-06-22,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",163.33,1960,1,1,0,NA,1,1,2,2016-05-18,NA,NA,"False","Strict",500,60,NA,155,4340,900,"9AM - 6PM",NA,7,12,9,284,5,"False","No","https://www.airbnb.com/rooms/9865659","https://a2.muscache.com/im/pictures/908d0026-b288-4859-b543-d5d73f287371.jpg",40.7214889725407,-73.9833819872851,-0.521814384221273,2.5
"46356",12093262,7352493,"East Village Gem | Private","Apartment","Entire home/apt",2016-03-27,2016-10-25,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",126.1,10340,0.901,7,7,4.8,1,1,4,2016-10-13,78,1409.5,"False","Strict",500,75,25,250,4900,1225,"Anytime after 4PM","11AM",4,82,39,93,14,"False","No","https://www.airbnb.com/rooms/12093262","https://a2.muscache.com/im/pictures/8ae91142-f044-4203-a987-27b7efa1e631.jpg",40.7253036925128,-73.9810508450707,-52.3207936790756,7
"46382",11243947,58647168,"Duplex Townhouse Style-East Village","Apartment","Private room",2016-02-12,2016-03-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",88.9,3645,0.333,3,0,NA,1,1.5,2,2016-02-28,NA,NA,NA,"Strict",980,80,NA,70,1960,490,"12:00 PM (noon)","4:00 PM",3,41,198,4,9,"False","No","https://www.airbnb.com/rooms/11243947","https://a2.muscache.com/im/pictures/316d5f69-1f50-4805-b352-3eef41724f75.jpg",40.7293457390473,-73.9817033071627,-113.312280868838,3.6
"46429",9150710,42775360,"Private Bedroom East Village","Apartment","Private room",2015-10-27,2016-04-04,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",106.9,3100,0.238,4,8,4.5,1,1,1,2015-12-15,NA,NA,NA,"Flexible",NA,NA,NA,100,700,2800,NA,NA,1,29,221,55,4,"True","Yes","https://www.airbnb.com/rooms/9150710","https://a2.muscache.com/im/pictures/1c876378-af5a-4a77-9fc0-b39e91d7d6b7.jpg",40.7265653301534,-73.9801296706982,-48.7208944730468,2
"46431",8276108,42271764,"Cozy room in East Village","Apartment","Private room",2015-09-07,2016-01-19,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",75,300,0.667,2,3,4.5,1,1,2,2016-01-05,100,543.63,"False","Strict",NA,30,NA,60,1250,350,"5:00 PM","12:00 PM (noon)",1,4,19,190,9,"False","No","https://www.airbnb.com/rooms/8276108","https://a2.muscache.com/ac/pictures/aeaf1c25-693f-4209-b636-ee6989ccc7bc.jpg",40.7283179951026,-73.9833612073098,-95.3269162930454,4.5
"46449",9926306,51024301,"east village apt for the holidays","Apartment","Entire home/apt",2015-12-10,2015-12-22,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",130,130,0.053,1,0,NA,1,1,3,2015-12-11,NA,NA,NA,"Flexible",NA,NA,NA,130,3640,775,NA,NA,1,1,23,159,8,"False","No","https://www.airbnb.com/rooms/9926306","https://a2.muscache.com/ac/pictures/c0393dda-3257-4e0a-bee2-678adf62d24c.jpg",40.7289953710254,-73.9808806808624,-22.9626969051739,4
"46451",9692365,34754586,"Family Friendly East Village Studio","Apartment","Entire home/apt",2015-11-26,2016-02-22,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",133.53,13487,0.639,27,7,3.9,0,1,5,2016-02-22,93,0.06,"False","Moderate",99,75,NA,175,4900,1225,"3:00 PM","12:00 PM (noon)",1,101,61,143,16,"False","Yes","https://www.airbnb.com/rooms/9692365","https://a2.muscache.com/im/pictures/30568722-155c-473b-8563-edb9837b3abd.jpg",40.7288332025255,-73.9813131707531,27.1584073725397,16
